id;first_name;last_name;email;phone_number;hire_date;salary;commission_pct
1;Maria;Saraiva;Margarida.Batista75@live.com;repurpose withdrawal;2022-02-21T15:49:34;71697;45464
2;Cecília;Carvalho;Ladislau.Braga@gmail.com;withdrawal;2022-02-21T19:46:26;75289;21024
3;Yango;Oliveira;Alessandro.Franco@gmail.com;Prático;2022-02-21T04:49:50;71090;65309
4;Maitê;Xavier;Aline.Braga@bol.com.br;reinvent orchestrate;2022-02-21T00:19:27;52820;82484
5;Liz;Braga;Flix14@bol.com.br;mobile Granito;2022-02-21T18:57:21;13439;33970
6;Alice;Carvalho;Gustavo.Carvalho73@yahoo.com;Jamaica time-frame;2022-02-21T03:43:33;64329;13556
7;Emanuel;Santos;Liz72@live.com;Devolved rich;2022-02-21T06:13:41;54588;45928
8;Danilo;Albuquerque;Bryan8@hotmail.com;payment Distrito;2022-02-21T20:17:05;3244;21747
9;Mariana;Oliveira;Isis_Santos98@live.com;caramelo;2022-02-21T11:37:44;90189;81327
10;Alessandro;Saraiva;Calebe79@gmail.com;Mesa Acre Checking;2022-02-21T00:17:54;32637;8639
